*,41435344,62706c697374,001400000102,3037303730,7f454c46,a1b2cd34,04000000,05000000,aced,4b57414a88f027d1,cd20aaaa02000000,535a2088f02733d1,6f3c,535a444488f02733,a1b2c3d4,34cdb2a1,efbbbf,feff,fffe0000,626567696e,d4c3b2a1,37e45396c9dbd607,41435344,62706c697374,001400000102,3037303730,7f454c46,a1b2cd34,04000000,05000000,aced,4b57414a88f027d1,cd20aaaa02000000,535a2088f02733d1,6f3c,535a444488f02733,a1b2c3d4,34cdb2a1,efbbbf,feff,fffe0000,626567696e,d4c3b2a1,37e45396c9dbd607
123,00001a00051004,00001a00051004
386,4d5a,4d5a
3GP,0000001466747970,0000002066747970,0000001466747970,0000002066747970
3GP5,0000001866747970,0000001866747970
4XM,52494646,52494646
7Z,377abcaf271c,377abcaf271c
ABA,00014241,00014241
ABD,5157205665722e20
ABI,414f4c494e444558,414f4c
ABY,414f4c4442,414f4c
AC,72696666
ACCDB,000100005374616e6461726420414345204442
ACM,4d5a
ACS,c3abcdab
AC_,d0cf11e0a1b11ae1
AD,5245564e554d3a2c
ADF,444f53
ADP,d0cf11e0a1b11ae1
ADX,0300000041505052,80000020031204
AIFF,464f524d00
AIN,2112
AMR,2321414d52
ANI,52494646
API,4d5a900003000000
APR,d0cf11e0a1b11ae1
ARC,41724301,1a02,1a03,1a04,1a08,1a09
ARJ,60ea
ARL,d42a
ASF,3026b2758e66cf11
AST,5343486c
ASX,3c
AU,646e732e,2e736e64
AUT,d42a
AVI,52494646
AW,8a0109000000e108
AX,4d5a900003000000,4d5a
BAG,414f4c2046656564,414f4c
BDR,5854
BIN,424c4932323351
BMP,424d
BZ2,425a68
CAB,49536328,4d534346
CAL,737263646f636964,537570657243616c,b5a2b0b3b3b0a5b5
CAP,58435000,52545353
CAS,5f434153455f
CAT,30
CBD,434246494c45
CBK,5f434153455f
CDA,52494646
CDR,52494646,454c49544520436f,4d535f564f494345
CFG,5b666c7473696d2e
CHI,49545346
CHM,49545346
CLASS,cafebabe
CLB,434f4d2b,434d5831
CMX,52494646
CNV,53514c4f434f4e56
COD,4e616d653a20
COM,4d5a,e8,e9,eb
CPE,464158434f564552
CPI,53494554524f4e49,ff464f4e54
CPL,4d5a,dcdc
CPT,4350543746494c45,43505446494c45
CPX,5b57696e646f7773
CRU,43525553482076
CRW,49491a0000004845
CSH,6375736800000002
CTF,436174616c6f6720
CTL,56455253494f4e20
CUIX,504b0304
CUR,00000200
DAT,52494646,a90d000000000000,736c6821,736c682e,415647365f496e74,03,4552465353415645,436c69656e742055,496e6e6f20536574,504e4349554e444f,50455354,1a52545320434f4d,52415a4154444231,4e41565452414646,55464f4f72626974,574d4d50,43524547,72656766
DB,d0cf11e0a1b11ae1,08,0006156100000002000004d200001000,44424648,53514c69746520666f726d6174203300,fdffffff
DB3,03
DB4,04
DBA,00014244
DBB,6c33336c
DBF,4f504c4461746162
DBX,cfad12fe
DCI,3c21646f63747970
DCX,b168de3a
dex,6465780a30303900
DIB,424d
DLL,4d5a
DMG,78
DMP,4d444d5093a7,504147454455
DMS,444d5321
DOC,d0cf11e0a1b11ae1,0d444f43,cf11e0a1b11ae100,dba52d00,eca5c100
DOCX,504b0304,504b030414000600
DOT,d0cf11e0a1b11ae1
DRV,4d5a
DRW,07,01ff02040302
DS4,52494646
DSN,4d56
DSP,23204d6963726f73
DSS,02647373
DSW,64737766696c65
DTD,0764743264647464
DUN,5b50686f6e655d
DVF,4d535f564f494345
DVR,445644
DW4,4f7b
DWG,41433130
E01,455646090d0aff00,4c5646090d0aff00
ECF,5b47656e6572616c
EFX,dcfe
EML,582d,52657475726e2d50,46726f6d
ENL,40404020000040404040
EPS,c5d0d3c6,252150532d41646f
ETH,1a350100
EVT,300000004c664c65
EVTX,456c6646696c6500
EXE,4d5a
FDF,25504446
FLAC,664c614300000022
FLI,0011
FLT,4d5a900003000000,76323030332e3130
FLV,464c56
FM,3c4d616b65724669
FON,4d5a
FTR,d20a0000
GHO,feef
GHS,feef
GID,3f5f0300,4c4e0200
GIF,47494638
GPG,99
GRP,504d4343
GX2,475832
GZ,1f8b08
HAP,91334846
HDMP,4d444d5093a7
HDR,49536328,233f52414449414e
hip,48695021
HLP,0000ffffffff,3f5f0300,4c4e0200
HQX,2854686973206669
ICO,00000100
IDX,414f4c4442,414f4c,5000000020000000
IFO,445644
IMG,504943540008,eb3c902a,53434d49
IND,414f4c494458,414f4c
INFO,e310000100000000,5468697320697320,7a626578
ISO,4344303031
IVR,2e524543
JAR,504b0304,5f27a889,4a4152435300,504b030414000800
JFIF,ffd8ffe0,ffd8ffe0
JG,4a47030e,4a47040e
JNT,4e422a00
JP2,0000000c6a502020
JPE,ffd8ffe0,ffd8ffe0
JPEG,ffd8ffe0,ffd8ffe2,ffd8ffe3
JPG,ffd8ffe0,ffd8ffe1,ffd8ffe8
JTP,4e422a00
KGB,4b47425f61726368
KOZ,49443303000000
KWD,504b0304
LBK,c8007900
LGC,7b0d0a6f20
LGD,7b0d0a6f20
LHA,2d6c68
LIB,213c617263683e0a
LIT,49544f4c49544c53
LNK,4c00000001140200
LOG,2a2a2a2020496e73
LWP,576f726450726f
LZH,2d6c68
M4A,00000020667479704d3441
MANIFEST,3c3f786d6c2076657273696f6e3d
MAR,4d41723000,4d415243,4d41523100
MDB,000100005374616e64617264204a6574204442
MDF,010f0000
MDI,4550
MID,4d546864
MIDI,4d546864
MIF,3c4d616b65724669,56657273696f6e20
MKV,1a45dfa393428288
MLS,4d494c4553,4d56323134,4d563243,4d4c5357
MMF,4d4d4d440000
MNY,000100004d534953414d204461746162617365
MOF,fffe23006c006900
MOV,6d6f6f76,66726565,6d646174,77696465,706e6f74,736b6970
MP,0ced
MP3,494433
MPG,000001ba,000001b3
MSC,d0cf11e0a1b11ae1,3c3f786d6c2076657273696f6e3d22312e30223f3e0d0a3c4d4d435f436f6e736f6c6546696c6520436f6e736f6c65566572
MSI,d0cf11e0a1b11ae1,2320
MSV,4d535f564f494345
MTW,d0cf11e0a1b11ae1
NRI,0e4e65726f49534f
NSF,1a0000040000,4e45534d1a01
NTF,1a0000,4e49544630,30314f52444e414e
NVRAM,4d52564e
OBJ,4c01,80
OCX,4d5a
ODP,504b0304
ODT,504b0304
OGA,4f67675300020000
OGG,4f67675300020000
OGV,4f67675300020000
OGX,4f67675300020000
OLB,4d5a
ONE,e4525c7b8cd8a74d
OPT,d0cf11e0a1b11ae1,fdffffff20
ORG,414f4c564d313030
OTT,504b0304
P10,64000000
PAK,1a0b,5041434b
PAT,47504154
PAX,504158
PCH,564350434830
PCX,0a020101,0a030101,0a050101
PDB,aced000573720012,4d2d5720506f636b,4d6963726f736f667420432f432b2b20,736d5f,737a657a
PDF,25504446
PF,1100000053434341
PFC,414f4c,414f4c564d313030
PGD,504750644d41494e
PGM,50350a
PIF,4d5a
PKR,9901
PNG,89504e470d0a1a0a
PPS,d0cf11e0a1b11ae1
PPT,d0cf11e0a1b11ae1,006e1ef0,0f00e803,a0461df0,fdffffff0e000000,fdffffff1c000000,fdffffff43000000
PPTX,504b0304,504b030414000600
PPZ,4d534346
PRC,424f4f4b4d4f4249,74424d504b6e5772
PSD,38425053
PSP,7e424b00
PUB,d0cf11e0a1b11ae1
PWI,7b5c707769
PWL,b04d4643,e3828596
QBB,458600000600
QCP,52494646
QDF,ac9ebd8f0000
QEL,51454c20
QEMU,514649
QPH,03000000
QSD,5157205665722e20
QTS,4d5a
QTX,4d5a
QXD,00004949585052,00004d4d585052
RA,2e524d4600000012,2e7261fd00
RAM,727473703a2f2f
RAR,526172211a0700
REG,fffe,52454745444954
RGB,01da01010003
RM,2e524d46
RMI,52494646
RMVB,2e524d46
RPM,edabeedb
RTD,43232b44a4434da5
RTF,7b5c72746631
RVT,d0cf11e0a1b11ae1
SAM,5b5645525d,5b7665725d
SAV,24464c3240282329
SCR,4d5a
SDR,534d415254445257
SH3,4848474231
SHD,68490000,4b490000,67490000,66490000
SHW,53484f57
SIT,5349542100,5374756666497420
SKF,07534b46
SKR,9500,9501
SLE,414376,3a56455253494f4e
SLN,4d6963726f736f66742056697375616c
SNM,001e849000000000
SNP,4d534346
SOU,d0cf11e0a1b11ae1
SPL,00000100
SPO,d0cf11e0a1b11ae1
SUD,52454745444954
SUO,fdffffff04
SWF,435753,465753
SXC,504b0304
SXD,504b0304
SXI,504b0304
SXW,504b0304
SYS,4d5a,ffffffff,ff4b455942202020,e8,e9,eb,ff
SYW,414d594f
TAR,7573746172
TAR.BZ2,425a68
TAR.Z,1f9d90,1fa0
TB2,425a68
TBZ2,425a68
TIB,b46e6844
TIF,492049,49492a00,4d4d002a,4d4d002b
TIFF,492049,49492a00,4d4d002a,4d4d002b
TLB,4d53465402000100
TR1,0110
UCE,55434558
UFA,554641c6d2c1
VBX,4d5a
VCD,454e545259564344
VCF,424547494e3a5643
VCW,5b4d535643
VHD,636f6e6563746978
VMDK,434f5744,23204469736b2044,4b444d
VOB,000001ba
VSD,d0cf11e0a1b11ae1
VXD,4d5a
WAB,9ccbcb8d1375d211,813284c18505d011
WAV,52494646
WB2,00000200
WB3,3e000300feff090006
WIZ,d0cf11e0a1b11ae1
WK1,0000020006040600
WK3,00001a0000100400
WK4,00001a0002100400
WK5,00001a0002100400
WKS,0e574b53,ff00020004040554
WMA,3026b2758e66cf11
WMF,d7cdc69a
WMV,3026b2758e66cf11
WMZ,504b0304
WP,ff575043
WP5,ff575043
WP6,ff575043
WPD,ff575043
WPF,81cdab
WPG,ff575043
WPL,4d6963726f736f66742057696e646f7773204d6564696120506c61796572202d2d20
WPP,ff575043
WPS,d0cf11e0a1b11ae1
WRI,31be,32be,be000000ab
WS,1d7d
WS2,575332303030
XDR,3c
XLA,d0cf11e0a1b11ae1
XLS,d0cf11e0a1b11ae1,0908100000060500,fdffffff10,fdffffff1f,fdffffff22,fdffffff23,fdffffff28,fdffffff29
XLSX,504b0304,504b030414000600
XML,3c3f786d6c2076657273696f6e3d22312e30223f3e
XPI,504b0304
XPS,504b0304
XPT,504b0304,5850434f4d0a5479
ZAP,4d5a90000300000004000000ffff
ZIP,504b0304,504b4c495445,504b537058,504b0506,504b0708,57696e5a6970,504b030414000100
ZOO,5a4f4f20
